62	79	87	15	18	65	80	30	39	32	32	11
97	78	4	28	51	6	26	7	70	78	14	23
9	63	94	5	10	27	55	1	100	30	47	89
21	84	40	12	96	54	11	8	6	72	27	47
83	6	49	51	81	9	54	48	56	15	75	22
76	39	61	58	23	93	87	32	27	58	13	28
30	70	15	11	23	83	42	88	94	58	65	62
21	93	38	18	20	96	87	58	40	54	23	2
32	37	92	37	23	61	67	92	94	85	74	82
6	25	33	50	82	41	7	12	2	10	92	96
71	10	70	91	75	92	60	43	89	96	38	38
46	85	83	41	1	70	93	14	12	40	90	22
73	20	82	1	43	30	85	45	48	32	99	64
58	12	62	18	58	98	40	1	94	56	46	85
98	26	54	89	23	56	85	48	22	63	7	27
93	90	51	88	88	53	82	23	2	21	89	74
80	45	77	6	52	94	69	39	55	41	90	87
78	30	95	56	47	50	7	79	67	93	14	74
25	16	46	71	29	16	88	63	90	99	11	75
14	38	19	10	50	15	12	38	66	96	94	88
72	57	62	26	76	90	55	4	90	57	67	29
39	52	84	84	63	57	4	71	68	66	25	96
71	4	70	51	8	13	46	85	43	75	68	20
68	100	17	47	41	69	86	19	4	37	91	63
67	74	97	34	36	27	11	48	33	96	66	83
94	12	92	13	40	68	74	30	74	75	53	80
97	30	54	89	96	92	62	72	81	57	97	79
67	80	86	33	92	59	75	3	8	78	54	30
89	72	82	11	41	60	89	43	77	29	42	95
35	78	2	92	3	62	19	53	4	74	79	95
70	23	47	39	29	32	25	60	1	77	40	89
79	89	41	40	86	69	16	31	91	11	36	84
97	33	76	58	12	98	46	12	44	48	11	32
81	16	55	49	15	37	29	53	93	12	12	84
80	85	66	65	65	81	76	90	34	46	62	69
26	38	72	15	50	2	32	77	99	78	74	63
57	30	11	30	77	100	84	31	1	80	4	33
62	48	58	82	40	54	59	40	92	87	73	30
51	11	68	49	51	8	95	42	64	43	54	94
62	85	1	70	14	58	5	80	34	40	89	61
65	86	57	22	92	54	3	29	40	19	23	30
45	8	67	8	92	76	59	62	36	72	58	89
54	18	30	39	97	12	22	28	57	48	48	96
52	44	26	82	61	95	42	28	8	20	41	36
22	99	27	68	30	12	54	58	84	29	21	1
82	76	8	17	60	66	24	21	25	86	29	81
57	63	99	55	59	53	12	43	54	14	76	76
33	72	81	2	22	52	53	93	11	10	41	32
46	45	64	88	95	51	18	25	65	6	79	73
80	95	95	74	81	41	61	53	21	88	32	2
50	97	33	75	55	99	38	95	14	68	68	11
89	3	72	93	84	84	39	59	35	51	66	22
51	48	79	97	77	13	63	54	40	48	61	35
33	30	11	77	77	45	59	19	3	46	10	45
24	82	83	26	79	80	71	83	61	65	48	51
74	51	56	58	1	9	27	17	66	69	21	31
50	28	63	100	67	74	65	68	50	44	50	100
89	8	37	22	11	7	5	82	90	73	85	86
7	36	64	11	48	67	61	52	88	3	97	9
7	36	34	57	57	20	13	29	53	92	60	10
88	94	92	22	69	87	94	55	32	44	95	76
55	68	58	76	74	30	81	6	72	43	66	70
65	3	86	36	8	91	58	55	73	58	65	56
35	24	20	36	66	50	43	82	89	75	29	29
8	60	68	97	13	66	85	79	82	88	53	19
59	77	99	86	11	34	93	71	84	80	56	1
19	51	78	39	45	77	97	16	94	34	25	75
5	94	12	15	9	12	17	9	99	81	78	87
2	45	13	40	36	54	64	37	64	65	17	76
41	69	59	3	29	1	12	64	83	70	80	27
44	95	40	9	97	22	13	3	83	22	68	1
91	65	100	69	71	96	93	39	59	87	87	76
38	93	84	57	23	44	94	10	49	67	88	96
15	59	12	93	40	55	29	86	15	25	39	19
5	44	71	7	61	75	37	93	53	55	46	99
40	73	38	89	82	48	29	53	27	31	3	56
27	27	5	75	81	90	42	74	88	38	57	5
77	22	97	61	84	78	84	74	45	83	22	40
64	78	9	68	92	88	89	16	77	92	48	43
27	27	45	49	12	95	65	46	36	36	60	18
93	85	93	57	13	37	87	4	92	62	53	61
60	70	11	68	60	76	44	73	5	29	36	2
15	50	2	30	3	5	99	85	49	80	59	54
30	44	51	70	14	41	61	61	79	41	9	62
53	57	25	88	12	67	31	42	20	25	17	72
72	9	70	56	49	64	32	81	70	62	30	88
77	50	37	45	7	80	35	44	71	55	16	9
95	10	6	57	2	94	43	19	79	65	83	24
93	48	68	61	50	19	81	17	91	6	26	38
59	51	25	16	71	7	2	24	89	45	24	11
3	46	55	56	56	10	86	41	27	64	76	33
